peptideId	arabi-defline
NO09G00190	WD-40 repeat family protein / beige-related
NO09G00210	RNA binding (RRM/RBD/RNP motifs) family protein
NO09G00220	acetyl-CoA carboxylase 2
NO09G00230	Histone superfamily protein
NO09G00260	P-loop containing nucleoside triphosphate hydrolases superfamily protein
NO09G00310	Glycosyl hydrolase family protein
NO09G00330	UDP-glucuronic acid decarboxylase 1
NO09G00340	binding
NO09G00380	proline-rich spliceosome-associated (PSP) family protein
NO09G00390	sorting nexin 1
NO09G00400	nudix hydrolase homolog 8
NO09G00450	photosystem I light harvesting complex gene 6
NO09G00460	clathrin adaptor complexes medium subunit family protein
NO09G00470	cell division cycle 48
NO09G00480	Sec14p-like phosphatidylinositol transfer family protein
NO09G00510	Domain of unknown function (DUF1767)
NO09G00530	Protein of unknown function (DUF3411)
NO09G00540	ARM repeat superfamily protein
NO09G00560	Tetratricopeptide repeat (TPR)-like superfamily protein
NO09G00610	NAD(P)-binding Rossmann-fold superfamily protein
NO09G00620	FUNCTIONS IN: molecular_function unknown; INVOLVED IN: protein transport, Golgi organization; LOCATED IN: vacuole; EXPRESSED IN: 23 plant structures; EXPRESSED DURING: 13 growth stages; CONTAINS InterPro DOMAIN/s: COG complex component, COG2 (InterPro:IPR009316); Has 30201 Blast hits to 17322 proteins in 780 species: Archae - 12; Bacteria - 1396; Metazoa - 17338; Fungi - 3422; Plants - 5037; Viruses - 0; Other Eukaryotes - 2996 (source: NCBI BLink).
NO09G00650	voltage dependent anion channel 4
NO09G00660	Pheophorbide a oxygenase family protein with Rieske [2Fe-2S] domain
NO09G00680	actin 9
NO09G00690	enoyl-CoA hydratase 2
NO09G00700	Protein of unknown function DUF92, transmembrane
NO09G00710	Ribosomal protein L18ae/LX family protein
NO09G00730	aldehyde dehydrogenase 10A9
NO09G00740	transthyretin-like protein
NO09G00750	RING/U-box superfamily protein
NO09G00760	K+ efflux antiporter 1
NO09G00770	PLANT HOMOLOGOUS TO PARAFIBROMIN
NO09G00780	26S proteasome regulatory subunit S2 1B
NO09G00800	Peroxisomal membrane 22 kDa (Mpv17/PMP22) family protein
NO09G00820	MATE efflux family protein
NO09G00830	ribonucleotide reductase 1
NO09G00860	transportin 1
NO09G00880	thiamin biosynthesis protein, putative
NO09G00890	aminoalcoholphosphotransferase 1
NO09G00900	U2 snRNP auxilliary factor, large subunit, splicing factor
NO09G00920	Heat shock protein DnaJ, N-terminal with domain of unknown function (DUF1977)
NO09G00930	LETM1-like protein
NO09G00960	2-oxoglutarate (2OG) and Fe(II)-dependent oxygenase superfamily protein
NO09G00970	Transport protein particle (TRAPP) component
NO09G00980	AAA-type ATPase family protein
NO09G01000	homolog of yeast oxidase assembly 1 (OXA1)
NO09G01010	Signal recognition particle, SRP9/SRP14 subunit
NO09G01020	Nucleotide-sugar transporter family protein
NO09G01050	Cwf15 / Cwc15 cell cycle control family protein
NO09G01090	Oxidoreductase family protein
NO09G01100	Protein kinase superfamily protein
NO09G01120	P-loop containing nucleoside triphosphate hydrolases superfamily protein
NO09G01130	Ribosomal protein L18e/L15 superfamily protein
NO09G01170	DNA polymerase epsilon catalytic subunit
NO09G01180	Tesmin/TSO1-like CXC domain-containing protein
NO09G01210	Glutamyl-tRNA reductase family protein
NO09G01220	aldehyde dehydrogenase  6B2
NO09G01260	FUNCTIONS IN: molecular_function unknown; INVOLVED IN: biological_process unknown; LOCATED IN: nucleus; CONTAINS InterPro DOMAIN/s: Ribonuclease H2, subunit B (InterPro:IPR019024); Has 30201 Blast hits to 17322 proteins in 780 species: Archae - 12; Bacteria - 1396; Metazoa - 17338; Fungi - 3422; Plants - 5037; Viruses - 0; Other Eukaryotes - 2996 (source: NCBI BLink).
NO09G01280	RNA helicase family protein
NO09G01290	Tetratricopeptide repeat (TPR)-like superfamily protein
NO09G01300	SEC-C motif-containing protein / OTU-like cysteine protease family protein
NO09G01310	Thioesterase/thiol ester dehydrase-isomerase superfamily protein
NO09G01320	RAB GTPase homolog 8C
NO09G01380	Clathrin adaptor complexes medium subunit family protein
NO09G01420	Ribosomal protein S26e family protein
NO09G01430	RELA/SPOT homolog 1
NO09G01460	tRNA (guanine-N-7) methyltransferase
NO09G01470	SOH1 family protein
NO09G01480	P-loop containing nucleoside triphosphate hydrolases superfamily protein
NO09G01510	Homeodomain-like superfamily protein
NO09G01520	receptor for activated C kinase 1C
NO09G01530	DHHC-type zinc finger family protein
NO09G01550	nitrogen fixation S (NIFS)-like 1
NO09G01560	DNA topoisomerase 1 beta
NO09G01570	Leucine carboxyl methyltransferase
NO09G01590	aromatic and neutral transporter 1
NO09G01610	DNA-directed DNA polymerases
NO09G01660	DNAJ heat shock family protein
NO09G01670	isopentenyl pyrophosphate:dimethylallyl pyrophosphate isomerase 2
NO09G01680	Protein of unknown function (DUF1295)
NO09G01710	P-loop containing nucleoside triphosphate hydrolases superfamily protein
NO09G01730	cationic amino acid transporter 4
NO09G01760	RAS associated with diabetes protein 51
NO09G01820	microfibrillar-associated protein-related
NO09G01830	beta glucosidase 42
NO09G01840	ubiquitin-specific protease 22
NO09G01850	Protein of unknown function (DUF498/DUF598)
NO09G01880	sterol methyltransferase 1
NO09G01900	phosphoglycerate/bisphosphoglycerate mutase
NO09G01930	ZIP metal ion transporter family
NO09G01940	Metallo-hydrolase/oxidoreductase superfamily protein
NO09G01980	Transmembrane amino acid transporter family protein
NO09G02000	Pyridoxamine 5'-phosphate oxidase family protein
NO09G02010	oxidoreductases
NO09G02020	phragmoplast orienting kinesin 2
NO09G02050	PAS domain-containing protein tyrosine kinase family protein
NO09G02060	RNA helicase family protein
NO09G02070	Radical SAM superfamily protein
NO09G02090	fructose-2,6-bisphosphatase
NO09G02100	HISTIDINE BIOSYNTHESIS 6B
NO09G02110	RING/U-box superfamily protein
NO09G02120	CTP synthase family protein
NO09G02140	NOD26-like intrinsic protein 7;1
NO09G02150	Mitochondrial substrate carrier family protein
NO09G02190	Protein of unknown function (DUF59)
NO09G02200	Arginyl-tRNA synthetase, class Ic
NO09G02210	MAPK phosphatase 2
NO09G02220	RAD3-like DNA-binding helicase protein
NO09G02240	Ribosomal protein L18e/L15 superfamily protein
NO09G02280	exoribonuclease 2
NO09G02290	Sodium Bile acid symporter family
NO09G02310	Transcription factor IIIC, subunit 5
NO09G02330	breast cancer associated RING 1
NO09G02340	NADH:cytochrome B5 reductase 1
NO09G02370	Cation efflux family protein
NO09G02380	tRNAse Z1
NO09G02390	LETM1-like protein
NO09G02410	P-loop containing nucleoside triphosphate hydrolases superfamily protein
NO09G02420	ATP binding microtubule motor family protein
NO09G02430	RING/FYVE/PHD zinc finger superfamily protein
NO09G02440	Phospholipid/glycerol acyltransferase family protein
NO09G02450	glycine-rich RNA-binding protein 3
NO09G02460	Citrate synthase family protein
NO09G02490	Homeodomain-like superfamily protein
NO09G02550	Acyl-CoA N-acyltransferases (NAT) superfamily protein
NO09G02570	Transducin/WD40 repeat-like superfamily protein
NO09G02580	ubiquitin-specific protease 8
NO09G02610	FTSH protease 4
NO09G02630	Glutathione S-transferase family protein
NO09G02640	Chaperone protein htpG family protein
NO09G02670	DHHC-type zinc finger family protein
NO09G02680	elongator protein 2
NO09G02700	D-aminoacyl-tRNA deacylases
NO09G02720	Presenilin-1
NO09G02740	DNA binding;ATP binding;nucleic acid binding;binding;helicases;ATP binding;DNA binding;helicases
NO09G02780	triglyceride lipases;triglyceride lipases
NO09G02800	Glycosyl hydrolase family protein
NO09G02820	triglyceride lipases;triglyceride lipases
NO09G02860	WD-40 repeat family protein / notchless protein, putative
NO09G02880	Ankyrin repeat family protein
NO09G02900	histone deacetylase 14
NO09G02920	eukaryotic translation initiation factor 3E
NO09G02930	alpha/beta-Hydrolases superfamily protein
NO09G02960	homolog of X-ray repair cross complementing 2 (XRCC2)
NO09G02980	unknown protein; CONTAINS InterPro DOMAIN/s: Protein of unknown function DUF1014 (InterPro:IPR010422); Has 16107 Blast hits to 8386 proteins in 1107 species: Archae - 26; Bacteria - 3370; Metazoa - 4013; Fungi - 1516; Plants - 526; Viruses - 120; Other Eukaryotes - 6536 (source: NCBI BLink).
NO09G03000	Putative thiol-disulphide oxidoreductase DCC
NO09G03010	ATPase, F1 complex, alpha subunit protein
NO09G03020	SGNH hydrolase-type esterase superfamily protein
NO09G03030	Rer1 family protein
NO09G03070	transducin family protein / WD-40 repeat family protein
NO09G03090	Glucose-methanol-choline (GMC) oxidoreductase family protein
NO09G03110	ammonium transporter 1;2
NO09G03120	Ribosomal protein L23/L15e family protein
NO09G03150	S-adenosylmethionine carrier 2
NO09G03170	peroxisomal NAD-malate dehydrogenase 2
NO09G03190	Ypt/Rab-GAP domain of gyp1p superfamily protein
NO09G03200	chloroplast RNA-binding protein 31B
NO09G03210	MAK16 protein-related
NO09G03220	Sulfite exporter TauE/SafE family protein
NO09G03230	3-ketoacyl-CoA synthase 20
NO09G03250	TATA BOX ASSOCIATED FACTOR II 59
NO09G03260	SMAD/FHA domain-containing protein 
NO09G03300	Protein phosphatase 2C family protein
NO09G03310	Mitochondrial substrate carrier family protein
NO09G03320	thiaminC
NO09G03330	ABC-2 type transporter family protein
NO09G03340	Dihydrolipoamide acetyltransferase, long form protein
NO09G03350	GTP-binding protein 1
NO09G03360	glyceraldehyde-3-phosphate dehydrogenase of plastid 1
NO09G03370	P-loop containing nucleoside triphosphate hydrolases superfamily protein
NO09G03380	nuclear matrix protein-related
NO09G03400	dual specificity protein phosphatase-related
NO09G03450	gamma-soluble NSF attachment protein
NO09G03460	transportin 1
NO09G03510	APRATAXIN-like
NO09G03530	Peptidase M20/M25/M40 family protein
NO09G03540	S-adenosyl-L-methionine-dependent methyltransferases superfamily protein
NO09G03560	NDR1/HIN1-like 8
NO09G03570	P-loop containing nucleoside triphosphate hydrolases superfamily protein
NO09G03610	Ribosomal protein L18e/L15 superfamily protein
NO09G03620	ubiquitin-specific protease 9
NO09G03630	ubiquitin-specific protease 8
NO09G03640	para-aminobenzoate (PABA) synthase family protein
NO09G03650	DNA methyltransferase-2
NO09G03680	Zinc finger C-x8-C-x5-C-x3-H type family protein
NO09G03690	FUNCTIONS IN: molecular_function unknown; INVOLVED IN: biological_process unknown; LOCATED IN: cellular_component unknown; EXPRESSED IN: 23 plant structures; EXPRESSED DURING: 13 growth stages; CONTAINS InterPro DOMAIN/s: tRNA (guanine-N1-)-methyltransferase (InterPro:IPR016009), tRNA (guanine-N(1)-)-methyltransferase, metazoa (InterPro:IPR016653), tRNA (guanine-N1-)-methyltransferase, eukaryotic (InterPro:IPR007356); Has 1807 Blast hits to 1807 proteins in 277 species: Archae - 0; Bacteria - 0; Metazoa - 736; Fungi - 347; Plants - 385; Viruses - 0; Other Eukaryotes - 339 (source: NCBI BLink).
NO09G03700	LAG1 longevity assurance homolog 3
NO09G03710	Tim10/DDP family zinc finger protein
NO09G03740	Cyclophilin-like peptidyl-prolyl cis-trans isomerase family protein
NO09G03800	sulfite oxidase
NO09G03830	autoinhibited Ca(2+)-ATPase 9
NO09G03840	Saposin-like aspartyl protease family protein
NO09G03880	peroxisomal adenine nucleotide carrier 2
NO09G03890	Phosphofructokinase family protein
NO09G03900	cell division cycle 48B
NO09G03910	YTH family protein
NO09G03920	Ankyrin repeat family protein with DHHC zinc finger domain
NO09G03940	protochlorophyllide oxidoreductase B
NO09G03980	BUB1-related (BUB1: budding uninhibited by benzymidazol 1)
NO09G03990	ankyrin repeat family protein
NO09G04000	NAD(P)-binding Rossmann-fold superfamily protein
NO09G04040	phosphoinositide binding
NO09G04090	PIF1 helicase
NO09G04260	Nucleotide-diphospho-sugar transferase family protein
NO10G00010	zinc finger (C3HC4-type RING finger) family protein
NO10G00070	Phosphatidylinositol-4-phosphate 5-kinase family protein
NO10G00080	Guanylate-binding family protein
NO10G00090	Microsomal signal peptidase 12 kDa subunit (SPC12)
NO10G00100	CRT (chloroquine-resistance transporter)-like transporter 1
NO10G00110	Transcriptional coactivator/pterin dehydratase
NO10G00120	diacylglycerol kinase 2
NO10G00200	rotamase cyclophilin 2
NO10G00240	tubulin beta 8
NO10G00250	Ribosomal protein L2 family
NO10G00310	Protein prenylyltransferase superfamily protein
NO10G00330	ABC transporter family protein
NO10G00340	AAA-type ATPase family protein
NO10G00370	5-formyltetrahydrofolate cycloligase
NO10G00400	ZPR1 zinc-finger domain protein
NO10G00410	mRNA capping enzyme family protein
NO10G00460	vacuolar ATP synthase subunit C (VATC) / V-ATPase C subunit / vacuolar proton pump C subunit (DET3)
NO10G00470	transducin family protein / WD-40 repeat family protein
NO10G00490	Patatin-like phospholipase family protein
NO10G00500	FKBP-like peptidyl-prolyl cis-trans isomerase family protein
NO10G00520	CYTOCHROME P450 51G1
NO10G00530	CYTOCHROME P450 51G1
NO10G00570	alpha/beta-Hydrolases superfamily protein
NO10G00580	chromatin remodeling factor, putative
NO10G00590	plastidic type i signal peptidase 1
NO10G00610	calcium-dependent protein kinase 33
NO10G00620	NAD(P)-binding Rossmann-fold superfamily protein
NO10G00640	splicing factor-related
NO10G00650	golgi nucleotide sugar transporter 5
NO10G00690	DNA ligase IV
NO10G00700	Oxidoreductase family protein
NO10G00730	U-box domain-containing protein
NO10G00740	Phosphoglucomutase/phosphomannomutase family protein
NO10G00770	sulfate transporter 4.1
NO10G00790	Small GTP-binding protein
NO10G00800	Cyclin/Brf1-like TBP-binding protein
NO10G00810	protein N-terminal asparagine amidohydrolase family protein
NO10G00820	phosphoinositide binding
NO10G00830	SNF2 domain-containing protein / helicase domain-containing protein
NO10G00840	unknown protein; FUNCTIONS IN: molecular_function unknown; INVOLVED IN: biological_process unknown; LOCATED IN: chloroplast, chloroplast inner membrane, chloroplast envelope; EXPRESSED IN: 23 plant structures; EXPRESSED DURING: 14 growth stages; Has 200 Blast hits to 200 proteins in 73 species: Archae - 0; Bacteria - 112; Metazoa - 0; Fungi - 0; Plants - 53; Viruses - 0; Other Eukaryotes - 35 (source: NCBI BLink).
NO10G00860	NagB/RpiA/CoA transferase-like superfamily protein
NO10G00880	hydroxysteroid dehydrogenase 2
NO10G00890	Transducin/WD40 repeat-like superfamily protein
NO10G00910	Ras-related small GTP-binding family protein
NO10G00920	Mitochondrial substrate carrier family protein
NO10G00960	Transducin/WD40 repeat-like superfamily protein
NO10G00980	SPFH/Band 7/PHB domain-containing membrane-associated protein family
NO10G01000	ATP-dependent caseinolytic (Clp) protease/crotonase family protein
NO10G01010	Thiamin diphosphate-binding fold (THDP-binding) superfamily protein
NO10G01030	TRAM, LAG1 and CLN8 (TLC) lipid-sensing domain containing protein
NO10G01040	Nucleotidyltransferase family protein
NO10G01100	P-loop containing nucleoside triphosphate hydrolases superfamily protein
NO10G01130	S-adenosylmethionine carrier 2
NO10G01140	NAD(P)-binding Rossmann-fold superfamily protein
NO10G01150	GTP-binding protein, HflX
NO10G01170	aminoalcoholphosphotransferase 1
NO10G01180	Glutathione S-transferase family protein
NO10G01230	Cytosol aminopeptidase family protein
NO10G01240	pfkB-like carbohydrate kinase family protein
NO10G01270	uncoupling protein 5
NO10G01290	phosphate deficiency response 2
NO10G01320	tetratricopeptide repeat (TPR)-containing protein
NO10G01340	cyclophilin 38
NO10G01360	CDK-activating kinase 4
NO10G01370	DEAD/DEAH box RNA helicase family protein 
NO10G01380	2-phosphoglycolate phosphatase 2
NO10G01480	EPS15 homology domain 2
NO10G01490	gamma-tocopherol methyltransferase
NO10G01510	chlorophyll A/B binding protein 3
NO10G01530	TBP-associated factor 5
NO10G01540	nuclear factor Y, subunit C9
NO10G01570	glucose-6-phosphate dehydrogenase 6
NO10G01620	Zincin-like metalloproteases family protein
NO10G01630	Pex2/Pex12 N-terminal domain-containing protein / zinc finger (C3HC4-type RING finger) family protein
NO10G01640	ankyrin repeat family protein
NO10G01690	glutathione peroxidase 1
NO10G01710	plastid-encoded CLP P
NO10G01720	5'-nucleotidases;magnesium ion binding
NO10G01730	xylem cysteine peptidase 2
NO10G01740	Chaperone DnaJ-domain superfamily protein
NO10G01760	protein-serine kinase 1
NO10G01770	Cysteine proteinases superfamily protein
NO10G01790	nucleolar essential protein-related
NO10G01800	Protein kinase superfamily protein
NO10G01840	pleiotropic drug resistance 7
NO10G01850	Uncharacterised protein family (UPF0041)
NO10G01860	Photosystem II reaction center PsbP family protein
NO10G01870	ADP/ATP carrier 3
NO10G01880	Major facilitator superfamily protein
NO10G01890	Major facilitator superfamily protein
NO10G01900	N-acetylglucosaminylphosphatidylinositol de-N-acetylase family protein
NO10G01910	Proteasome component (PCI) domain protein
NO10G01920	S phase kinase-associated protein 1
NO10G01930	phosphatidylinositol 4-OH kinase beta1
NO10G01940	pantothenate kinase 2
NO10G01960	Nuclear transport factor 2 (NTF2) family protein
NO10G01980	2-oxoglutarate (2OG) and Fe(II)-dependent oxygenase superfamily protein
NO10G01990	Small nuclear ribonucleoprotein family protein
NO10G02000	nucleic acid binding;methyltransferases
NO10G02010	transducin family protein / WD-40 repeat family protein
NO10G02040	beta-ketoacyl reductase 1
NO10G02070	histone H2A 13
NO10G02080	Histone superfamily protein
NO10G02100	unknown protein; CONTAINS InterPro DOMAIN/s: Protein of unknown function DUF814 (InterPro:IPR008532); Has 1807 Blast hits to 1807 proteins in 277 species: Archae - 0; Bacteria - 0; Metazoa - 736; Fungi - 347; Plants - 385; Viruses - 0; Other Eukaryotes - 339 (source: NCBI BLink).
NO10G02110	lycopene cyclase
NO10G02120	CONTAINS InterPro DOMAIN/s: E2F-associated phosphoprotein, C-terminal (InterPro:IPR019370); Has 149 Blast hits to 149 proteins in 78 species: Archae - 0; Bacteria - 0; Metazoa - 79; Fungi - 0; Plants - 35; Viruses - 0; Other Eukaryotes - 35 (source: NCBI BLink).
NO10G02150	nucleotide binding;protein binding
NO10G02170	anthranilate synthase 2
NO10G02180	translocase inner membrane subunit 23-3
NO10G02200	fumarylacetoacetase, putative
NO10G02210	Endomembrane protein 70 protein family
NO10G02220	shaggy-like kinase 13
NO10G02230	high cyclic electron flow 1
NO10G02240	Aldolase-type TIM barrel family protein
NO10G02260	P450 reductase 1
NO10G02270	photosystem II family protein
NO10G02280	alpha/beta-Hydrolases superfamily protein
NO10G02290	glutamate synthase 1
NO10G02340	Nucleic acid-binding, OB-fold-like protein
NO10G02370	cyclophilin 5
NO10G02380	Mitochondrial substrate carrier family protein
NO10G02390	RNA methyltransferase family protein
NO10G02400	serine carboxypeptidase-like 27
NO10G02410	Protein phosphatase 2C family protein
NO10G02420	Spo11/DNA topoisomerase VI, subunit A protein
NO10G02430	stromal ascorbate peroxidase
NO10G02440	Late embryogenesis abundant protein (LEA) family protein
NO10G02450	myosin-like protein XIG
NO10G02460	myosin XI A
NO10G02490	arginine methyltransferase 11
NO10G02500	Zinc-binding ribosomal protein family protein
NO10G02510	Albino or Glassy Yellow 1
NO10G02520	STELAR K+ outward rectifier
NO10G02530	STELAR K+ outward rectifier
NO10G02560	ubiquitin-conjugating enzyme 27
NO10G02590	Pyridine nucleotide-disulphide oxidoreductase family protein
NO10G02620	ARM repeat superfamily protein
NO10G02630	RNA-binding (RRM/RBD/RNP motifs) family protein
NO10G02660	SWIB complex BAF60b domain-containing protein
NO10G02680	Chaperone DnaJ-domain superfamily protein
NO10G02690	myb domain protein 3r-4
NO10G02700	Helicase protein with RING/U-box domain
NO10G02710	Zn-dependent exopeptidases superfamily protein
NO10G02720	myb domain protein 119
NO10G02730	RNA-binding protein
NO10G02770	Peroxisomal membrane 22 kDa (Mpv17/PMP22) family protein
NO10G02780	arginine biosynthesis protein ArgJ family
NO10G02790	FAD-linked oxidases family protein
NO10G02800	cleavage and polyadenylation specificity factor 100
NO10G02810	LMBR1-like membrane protein
NO10G02820	geminivirus rep interacting kinase 1
NO10G02840	cullin4
NO10G02850	Ribosomal protein L4/L1 family
NO10G02860	CONTAINS InterPro DOMAIN/s: Rhodanese-like (InterPro:IPR001763), Serine hydrolase (InterPro:IPR005645); BEST Arabidopsis thaliana protein match is: Rhodanese/Cell cycle control phosphatase superfamily protein (TAIR:AT2G40760.1); Has 5925 Blast hits to 5912 proteins in 1592 species: Archae - 0; Bacteria - 2946; Metazoa - 156; Fungi - 408; Plants - 229; Viruses - 0; Other Eukaryotes - 2186 (source: NCBI BLink).
NO10G02880	RING/U-box superfamily protein
NO10G02890	DNA binding;zinc ion binding;DNA binding
NO10G02900	P-loop containing nucleoside triphosphate hydrolases superfamily protein
NO10G02910	Lactoylglutathione lyase / glyoxalase I family protein
NO10G02920	2-oxoacid dehydrogenases acyltransferase family protein
NO10G02940	structural molecules
NO10G02960	alpha/beta-Hydrolases superfamily protein
NO10G03020	RING/U-box superfamily protein
NO10G03050	anaphase promoting complex 6
NO10G03060	oxidoreductase, zinc-binding dehydrogenase family protein
NO10G03070	hydroxyproline-rich glycoprotein family protein
NO10G03120	Ribosomal protein S3Ae
NO10G03130	WEE1 kinase homolog
NO10G03150	Auxin efflux carrier family protein
NO10G03160	Translation initiation factor 2, small GTP-binding protein
NO10G03170	RING/U-box superfamily protein
NO10G03200	FRAGILE HISTIDINE TRIAD
NO10G03210	Ribosome recycling factor
NO10G03220	chromatin remodeling factor18
NO10G03290	ABC-2 type transporter family protein
NO10G03320	RING/U-box superfamily protein
NO10G03330	BEST Arabidopsis thaliana protein match is: loricrin-related (TAIR:AT5G64550.1); Has 3596 Blast hits to 2004 proteins in 150 species: Archae - 0; Bacteria - 54; Metazoa - 1597; Fungi - 38; Plants - 513; Viruses - 9; Other Eukaryotes - 1385 (source: NCBI BLink).
NO10G03340	pyruvate dehydrogenase E1 alpha
NO10G03380	methionine sulfoxide reductase B 1
NO10G03390	Eukaryotic initiation factor 4E protein
NO10G03400	beta carbonic anhydrase 5
NO10G03690	Pseudouridine synthase family protein
NO10G03700	guanylyl cyclase 1
NO10G03720	NAD(P)-binding Rossmann-fold superfamily protein
NO10G03740	DNAJ heat shock family protein
NO10G03750	Protein of unknown function (DUF288)
NO10G03780	hydrolases, acting on ester bonds
NO10G03800	homolog of asparagine-linked glycosylation 12
NO10G03820	cation exchanger 4
NO10G03890	DNA polymerase epsilon subunit B2
NO10G03900	GTP-binding protein, HflX
NO10G03920	damaged DNA binding protein 1A
NO10G03970	zinc ion binding;DNA binding
NO10G04020	Rubisco methyltransferase family protein
NO10G04060	origin of replication complex 1B
NO10G04070	phospholipases;galactolipases
NO10G04100	Metallo-hydrolase/oxidoreductase superfamily protein
NO10G04120	diacylglycerol acyltransferase family
NO11G00010	SUMO-activating enzyme 2
NO11G00060	cytochrome P450, family 97, subfamily B, polypeptide 3
NO11G00090	Protein kinase superfamily protein
NO11G00120	multidrug resistance-associated protein 9
NO11G00170	Ankyrin repeat family protein with DHHC zinc finger domain
NO11G00200	8-oxoguanine-DNA glycosylase 1
NO11G00210	K+ transporter 1
NO11G00250	Histone superfamily protein
NO11G00280	Phosphatidylinositol-4-phosphate 5-kinase family protein
NO11G00290	CDK-activating kinase 4
NO11G00330	4-hydroxy-3-methylbut-2-enyl diphosphate synthase
NO11G00340	Calcium-dependent lipid-binding (CaLB domain) family protein
NO11G00380	riboflavin kinase/FMN hydrolase
NO11G00400	CBL-interacting protein kinase 16
NO11G00410	ER-type Ca2+-ATPase 2
NO11G00450	unknown protein; Has 158 Blast hits to 158 proteins in 77 species: Archae - 0; Bacteria - 0; Metazoa - 104; Fungi - 0; Plants - 33; Viruses - 0; Other Eukaryotes - 21 (source: NCBI BLink).
NO11G00510	cyanase
NO11G00520	yeast YAK1-related gene 1
NO11G00540	binding
NO11G00570	Ankyrin repeat family protein
NO11G00580	EXS (ERD1/XPR1/SYG1) family protein
NO11G00600	Mitochondrial substrate carrier family protein
NO11G00610	NIMA-related kinase 5
NO11G00620	catalytics
NO11G00660	hydroxysteroid dehydrogenase 1
NO11G00670	TUDOR-SN protein 2
NO11G00680	triacylglycerol lipase-like 1
NO11G00690	FKBP-type peptidyl-prolyl cis-trans isomerase family protein
NO11G00710	NAD(P)-binding Rossmann-fold superfamily protein
NO11G00730	MUTS homolog 6
NO11G00740	eukaryotic release factor 1-3
NO11G00750	Protein of unknown function (DUF803)
NO11G00760	phosphoenolpyruvate carboxylase 2
NO11G00780	Na+/H+ (sodium hydrogen) exchanger 3
NO11G00920	non-photochemical quenching 1
NO11G00930	ubiquitin-specific protease 6
NO11G00940	calreticulin 1b
NO11G00950	appr-1-p processing enzyme family protein
NO11G00960	Ribosomal protein S8e family protein
NO11G00980	RING/U-box superfamily protein
NO11G00990	RNA helicase family protein
NO11G01010	co-factor for nitrate, reductase and xanthine dehydrogenase 5
NO11G01030	AUTOPHAGY 6
NO11G01060	VPS35 homolog B
NO11G01070	Pheophorbide a oxygenase family protein with Rieske [2Fe-2S] domain
NO11G01140	ATP synthase alpha/beta family protein
NO11G01180	Haloacid dehalogenase-like hydrolase (HAD) superfamily protein
NO11G01200	Protein of unknown function (DUF726)
NO11G01210	ribosome recycling factor, chloroplast precursor
NO11G01230	Polyketide synthase, enoylreductase family protein
NO11G01260	Transducin/WD40 repeat-like superfamily protein
NO11G01300	GRAM domain family protein
NO11G01320	RNA polymerase I specific transcription initiation factor RRN3 protein
NO11G01340	ARF-GAP domain 9
NO11G01360	global transcription factor group A2
NO11G01380	Tubulin/FtsZ family protein
NO11G01390	Transducin/WD40 repeat-like superfamily protein
NO11G01400	vacuolar protein sorting 34
NO11G01410	molybdopterin biosynthesis MoaE family protein
NO11G01430	INVOLVED IN: positive regulation of catalytic activity, protein processing; LOCATED IN: integral to membrane; EXPRESSED IN: 24 plant structures; EXPRESSED DURING: 15 growth stages; CONTAINS InterPro DOMAIN/s: Aph-1 (InterPro:IPR009294); Has 268 Blast hits to 262 proteins in 79 species: Archae - 0; Bacteria - 0; Metazoa - 212; Fungi - 0; Plants - 34; Viruses - 0; Other Eukaryotes - 22 (source: NCBI BLink).
NO11G01440	Mov34/MPN/PAD-1 family protein
NO11G01450	4-phosphopantetheine adenylyltransferase
NO11G01490	Cation efflux family protein
NO11G01500	mitogen-activated protein kinase kinase 3
NO11G01510	NagB/RpiA/CoA transferase-like superfamily protein
NO11G01550	CLP protease regulatory subunit X
NO11G01570	Cysteine proteinases superfamily protein
NO11G01590	5'-3' exonuclease family protein
NO11G01600	NOD26-like intrinsic protein 3;1
NO11G01610	elicitor-activated gene 3-2
NO11G01660	phosphorylcholine cytidylyltransferase2
NO11G01670	alpha/beta-Hydrolases superfamily protein
NO11G01680	pyridoxin (pyrodoxamine) 5'-phosphate oxidase
NO11G01700	cellulose synthase A9
NO11G01750	NAD(P)-binding Rossmann-fold superfamily protein
NO11G01760	CBL-interacting protein kinase 16
NO11G01770	Family of unknown function (DUF572) 
NO11G01780	Aldolase superfamily protein
NO11G01790	binding
NO11G01800	sulfate transporter 3;4
NO11G01870	DEA(D/H)-box RNA helicase family protein
NO11G01900	sedoheptulose-bisphosphatase
NO11G01910	unknown protein; Has 469 Blast hits to 336 proteins in 126 species: Archae - 0; Bacteria - 54; Metazoa - 249; Fungi - 22; Plants - 47; Viruses - 0; Other Eukaryotes - 97 (source: NCBI BLink).
NO11G01920	Mitochondrial transcription termination factor family protein
NO11G01930	Transducin/WD40 repeat-like superfamily protein
NO11G01940	Protein kinase superfamily protein
NO11G01970	importin alpha isoform 2
NO11G02000	Aldolase-type TIM barrel family protein
NO11G02020	H/ACA ribonucleoprotein complex, subunit Gar1/Naf1 protein
NO11G02040	zinc finger (C2H2 type) family protein
NO11G02050	glucuronidase 2
NO11G02060	Calcineurin-like metallo-phosphoesterase superfamily protein
NO11G02080	Nucleotide-diphospho-sugar transferase family protein
NO11G02090	P-loop containing nucleoside triphosphate hydrolases superfamily protein
NO11G02110	Plasma-membrane choline transporter family protein
NO11G02140	alpha-adaptin
